serial_no,sensor_id,imu1_pitch,imu1_roll,battery,reading_time
29,LRS,20.54,17.14,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
30,LRS,21.07,17.58,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
31,LRS,21.62,17.87,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
32,LRS,22.14,18.13,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
33,LRS,22.83,18.32,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
34,LRS,22.8,17.81,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
35,LRS,23.11,17.89,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
36,LRS,23.57,17.36,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
37,LRS,23.72,17.15,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
38,LRS,23.62,17.23,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
39,LRS,23.43,17.31,34,Sat Jul 25 2020 11:28:37 GMT+0530 (India Standard Time)
40,LRS,23.53,17.3,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
41,LRS,23.54,17.3,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
42,LRS,24.06,17.22,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
43,LRS,24.43,17.66,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
44,LRS,24.77,17.9,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
45,LRS,25,18.12,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
46,LRS,25.15,18.78,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
47,LRS,25.54,19.02,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
48,LRS,26.27,19.18,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
49,LRS,26.66,19.39,34,Sat Jul 25 2020 11:28:38 GMT+0530 (India Standard Time)
50,LRS,26.83,19.99,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
51,LRS,26.96,20.46,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
52,LRS,26.89,21.13,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
53,LRS,26.99,21.59,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
54,LRS,27.36,21.91,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
55,LRS,27.63,22.18,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
56,LRS,27.57,22.74,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
57,LRS,27.69,23.12,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
58,LRS,28.05,23.29,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
59,LRS,28.23,23.75,34,Sat Jul 25 2020 11:28:39 GMT+0530 (India Standard Time)
60,LRS,28.71,24.02,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
61,LRS,28.73,24.3,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
62,LRS,28.82,24.48,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
63,LRS,28.77,24.63,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
64,LRS,28.57,24.59,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
65,LRS,28.27,24.41,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
66,LRS,27.9,24.31,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
67,LRS,27.81,24.07,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
68,LRS,27.89,23.46,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
69,LRS,28.1,22.75,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
70,LRS,28.52,22.13,34,Sat Jul 25 2020 11:28:40 GMT+0530 (India Standard Time)
71,LRS,29.08,21.67,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
72,LRS,29.88,21.07,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
73,LRS,30.74,20.56,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
74,LRS,31.55,20.06,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
75,LRS,32.31,19.49,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
76,LRS,32.78,19.05,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
77,LRS,33.06,18.63,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
78,LRS,33.18,18.27,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
79,LRS,33.48,17.68,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
80,LRS,33.6,17.05,34,Sat Jul 25 2020 11:28:41 GMT+0530 (India Standard Time)
81,LRS,33.33,16.74,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
82,LRS,32.92,16.45,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
83,LRS,32.33,16.36,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
84,LRS,31.48,16.46,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
85,LRS,30.75,16.7,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
86,LRS,30.13,17.03,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
87,LRS,29.6,17.49,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
88,LRS,29.26,17.95,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
89,LRS,28.93,18.57,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
90,LRS,28.61,19.31,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
91,LRS,28.34,20.04,34,Sat Jul 25 2020 11:28:42 GMT+0530 (India Standard Time)
92,LRS,28.12,20.94,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
93,LRS,27.83,21.92,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
94,LRS,27.59,22.88,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
95,LRS,27.34,23.87,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
96,LRS,27.19,24.78,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
97,LRS,27.03,25.71,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
98,LRS,26.86,26.61,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
99,LRS,26.64,27.52,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
100,LRS,26.46,28.41,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
101,LRS,26.29,29.28,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
102,LRS,26.13,30.13,34,Sat Jul 25 2020 11:28:43 GMT+0530 (India Standard Time)
103,LRS,25.93,30.92,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
104,LRS,25.77,31.51,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
105,LRS,25.61,32.05,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
106,LRS,25.55,32.34,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
107,LRS,25.58,32.21,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
108,LRS,25.61,31.79,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
109,LRS,25.58,31.16,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
110,LRS,25.5,30.2,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
111,LRS,25.4,29.22,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
112,LRS,25.19,27.87,34,Sat Jul 25 2020 11:28:44 GMT+0530 (India Standard Time)
113,LRS,24.92,26.4,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
114,LRS,24.58,24.93,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
115,LRS,24.13,23.62,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
116,LRS,23.69,22.24,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
117,LRS,23.22,20.87,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
118,LRS,22.65,19.5,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
119,LRS,22.02,18.18,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
120,LRS,21.25,17.07,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
121,LRS,20.43,15.88,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
122,LRS,19.55,14.7,34,Sat Jul 25 2020 11:28:45 GMT+0530 (India Standard Time)
123,LRS,18.73,13.42,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
124,LRS,17.87,12.31,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
125,LRS,17.02,11.31,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
126,LRS,16.25,10.29,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
127,LRS,15.42,9.46,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
128,LRS,14.6,8.48,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
129,LRS,13.74,7.5,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
130,LRS,12.87,6.46,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
131,LRS,11.96,5.47,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
132,LRS,11.02,4.56,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
133,LRS,10.11,3.64,34,Sat Jul 25 2020 11:28:46 GMT+0530 (India Standard Time)
134,LRS,9.21,2.74,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
135,LRS,8.33,1.8,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
136,LRS,7.42,0.84,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
137,LRS,6.58,-0.2,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
138,LRS,5.77,-1.24,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
139,LRS,4.94,-2.27,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
140,LRS,4.08,-3.27,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
141,LRS,3.22,-4.22,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
142,LRS,2.45,-5.22,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
143,LRS,1.71,-6.2,34,Sat Jul 25 2020 11:28:47 GMT+0530 (India Standard Time)
144,LRS,0.98,-7.18,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
145,LRS,0.32,-8.05,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
146,LRS,-0.21,-8.76,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
147,LRS,-0.41,-9.42,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
148,LRS,-0.49,-9.64,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
149,LRS,-0.09,-10.1,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
150,LRS,0.66,-10.34,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
151,LRS,1.6,-10.57,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
152,LRS,2.84,-10.62,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
153,LRS,3.99,-10.6,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
154,LRS,5.4,-10.61,34,Sat Jul 25 2020 11:28:48 GMT+0530 (India Standard Time)
155,LRS,6.85,-10.64,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
156,LRS,8.29,-10.63,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
157,LRS,9.72,-10.61,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
158,LRS,11.07,-10.65,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
159,LRS,12.3,-10.76,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
160,LRS,13.48,-10.76,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
161,LRS,14.17,-10.76,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
162,LRS,14.6,-10.84,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
163,LRS,14.69,-10.94,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
164,LRS,14.54,-11.06,34,Sat Jul 25 2020 11:28:49 GMT+0530 (India Standard Time)
165,LRS,13.96,-10.97,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
166,LRS,13.02,-10.75,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
167,LRS,11.73,-10.5,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
168,LRS,10.37,-10.19,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
169,LRS,8.82,-9.83,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
170,LRS,7.22,-9.53,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
171,LRS,5.56,-9.12,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
172,LRS,3.9,-8.77,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
173,LRS,2.27,-8.35,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
174,LRS,0.68,-7.93,34,Sat Jul 25 2020 11:28:50 GMT+0530 (India Standard Time)
175,LRS,-0.79,-7.49,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
176,LRS,-1.76,-7.2,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
177,LRS,-1.9,-7.13,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
178,LRS,-1.66,-7.09,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
179,LRS,-1.15,-7.13,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
180,LRS,-0.41,-7.19,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
181,LRS,0.35,-7.25,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
182,LRS,1.72,-7.28,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
183,LRS,2.83,-7.38,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
184,LRS,4.35,-7.38,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
185,LRS,4.83,-6.24,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
186,LRS,0,0,34,Sat Jul 25 2020 11:28:51 GMT+0530 (India Standard Time)
187,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
188,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
189,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
190,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
191,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
192,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
193,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
194,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
195,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
196,LRS,0,0,34,Sat Jul 25 2020 11:28:52 GMT+0530 (India Standard Time)
197,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
198,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
199,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
200,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
201,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
202,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
203,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
204,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
205,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
206,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
207,LRS,0,0,34,Sat Jul 25 2020 11:28:53 GMT+0530 (India Standard Time)
208,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
209,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
210,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
211,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
212,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
213,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
214,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
215,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
216,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
217,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
218,LRS,0,0,34,Sat Jul 25 2020 11:28:54 GMT+0530 (India Standard Time)
219,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
220,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
221,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
222,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
223,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
224,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
225,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
226,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
227,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
228,LRS,0,0,34,Sat Jul 25 2020 11:28:55 GMT+0530 (India Standard Time)
229,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
230,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
231,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
232,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
233,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
234,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
235,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
236,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
237,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
238,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
239,LRS,0,0,34,Sat Jul 25 2020 11:28:56 GMT+0530 (India Standard Time)
240,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
241,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
242,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
243,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
244,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
245,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
246,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
247,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
248,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
249,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
250,LRS,0,0,34,Sat Jul 25 2020 11:28:57 GMT+0530 (India Standard Time)
251,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
252,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
253,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
254,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
255,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
256,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
257,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
258,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
259,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
260,LRS,0,0,34,Sat Jul 25 2020 11:28:58 GMT+0530 (India Standard Time)
261,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
262,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
263,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
264,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
265,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
266,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
267,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
268,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
269,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
270,LRS,0,0,34,Sat Jul 25 2020 11:28:59 GMT+0530 (India Standard Time)
271,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
272,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
273,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
274,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
275,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
276,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
277,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
278,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
279,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
280,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
281,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
282,LRS,0,0,34,Sat Jul 25 2020 11:29:00 GMT+0530 (India Standard Time)
283,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
284,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
285,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
286,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
